t,setpoint,measurement,error,p_term,i_term,d_term,control
4.25,1.0,0.9272474319609887,0.07387654918512243,0.14775309837024486,0.8076300480567897,-0.002284148105490935,0.9530989983215437
4.3,1.0,0.9283536774861204,0.07275256803901131,0.14550513607802262,0.8105401507783502,-0.0022479622922222386,0.9537973245641506
4.3500000000000005,1.0,0.9294425308265488,0.07164632251387959,0.14329264502775918,0.8134060036789054,-0.002212491050263443,0.9544861576564011
4.4,1.0,0.9305143226301047,0.07055746917345118,0.14111493834690236,0.8162283024458434,-0.002177706680856817,0.955165534111889
4.45,1.0,0.9315693717152386,0.0694856773698953,0.1389713547397906,0.8190077295406392,-0.0021435836071117542,0.955835500673318
4.5,1.0,0.9326079859384072,0.06843062828476143,0.13686125656952286,0.8217449546720297,-0.002110098170267749,0.9564961130712848
4.55,1.0,0.9336304629789461,0.06739201406159279,0.13478402812318557,0.8244406352344934,-0.002077228446337287,0.9571474349113417
4.6000000000000005,1.0,0.934637091049672,0.06636953702105386,0.13273907404210772,0.8270954167153356,-0.0020449540810778544,0.9577895366763655
4.65,1.0,0.9356281495406253,0.06536290895032804,0.13072581790065607,0.8297099330733486,-0.002013256141451647,0.958422494832553
4.7,1.0,0.9366039096026229,0.06437185045937466,0.12874370091874932,0.8322848070917236,-0.0019821169819067563,0.9590463910285661
4.75,1.0,0.9375646346766127,0.06339609039737715,0.1267921807947543,0.8348206507076187,-0.0019515201239950208,0.959661311378378
4.800000000000001,1.0,0.9385105809742267,0.06243536532338734,0.12487073064677467,0.8373180653205541,-0.0019214501479796198,0.9602673458193491
4.8500000000000005,1.0,0.9394419979143799,0.06148941902577332,0.12297883805154664,0.839777642081585,-0.0018918925952280397,0.9608645875379036
4.9,1.0,0.9403591285202784,0.06055800208562012,0.12111600417124024,0.8421999621650098,-0.0018628338803063917,0.9614531324559437
4.95,1.0,0.9412622097807604,0.059640871479721635,0.11928174295944327,0.8445855970241987,-0.0018342612117969725,0.962033078771845
5.0,1.0,0.9421514729794989,0.05873779021923964,0.11747558043847928,0.8469351086329683,-0.0018061625209639942,0.9626045265504836
5.050000000000001,1.0,0.9430271439952411,0.05784852702050114,0.11569705404100228,0.8492490497137883,-0.0017785263974769985,0.9631675773573136
5.1000000000000005,1.0,0.94388944357594,0.056972856004758876,0.11394571200951775,0.8515279639539787,-0.0017513420314845263,0.9637223339320119
5.15,1.0,0.9447385875893451,0.05611055642406004,0.11222111284812009,0.853772386210941,-0.0017245991613976663,0.9642688998976634
5.2,1.0,0.9455747872523669,0.05526141241065485,0.1105228248213097,0.8559828427073672,-0.0016982880268103797,0.9648073795018666
5.25,1.0,0.9463982493412889,0.05442521274763312,0.10885042549526625,0.8581598512172726,-0.001672399326043461,0.9653378773864953
5.300000000000001,1.0,0.9472091763847018,0.05360175065871109,0.10720350131742218,0.860303921243621,-0.001646924177844067,0.9658604983831991
5.3500000000000005,1.0,0.9480077668408394,0.05279082361529819,0.10558164723059638,0.862415554188233,-0.0016218540868258025,0.9663753473320036
5.4,1.0,0.9487942152608313,0.05199223315916057,0.10398446631832114,0.8644952435145994,-0.0015971809122752314,0.9668825289206453
5.45,1.0,0.949568712439235,0.0512057847391687,0.1024115694783374,0.8665434749041663,-0.0015728968399837395,0.9673821475425199
5.5,1.0,0.9503314455530719,0.05043128756076498,0.10086257512152996,0.8685607264065969,-0.0015489943568074427,0.9678743071713194
5.550000000000001,1.0,0.9510825982904713,0.04966855444692808,0.09933710889385616,0.8705474685844741,-0.0015254662276737996,0.9683591112506564
5.6000000000000005,1.0,0.9518223509699147,0.04891740170952874,0.09783480341905748,0.8725041646528551,-0.001502305474798682,0.9688366625971139
5.65,1.0,0.9525508806509743,0.04817764903008526,0.09635529806017051,0.8744312706140586,-0.001479505358886968,0.9693070633153421
5.7,1.0,0.9532683612373484,0.04744911934902574,0.09489823869805147,0.8763292353880197,-0.0014570593621190395,0.9697704147239521
5.75,1.0,0.9539749635729206,0.04673163876265163,0.09346327752530326,0.8781985009385258,-0.001434961172748217,0.9702268172910808
5.800000000000001,1.0,0.9546708555314916,0.04602503642707945,0.0920500728541589,0.8800395023956089,-0.0014132046711443635,0.9706763705786234
5.8500000000000005,1.0,0.9553562021007721,0.04532914446850844,0.09065828893701688,0.8818526681743493,-0.0013917839171420086,0.9711191731942241
5.9,1.0,0.9560311654611655,0.0446437978992279,0.0892875957984558,0.8836384200903183,-0.0013706931385610854,0.9715553227502131
5.95,1.0,0.956695905059815,0.04396883453883449,0.08793766907766898,0.8853971734718716,-0.0013499267207868204,0.9719849158287538
6.0,1.0,0.9573505776803457,0.043304094940184945,0.08660818988036989,0.8871293372694791,-0.0013294791972990883,0.9724080479525499
6.050000000000001,1.0,0.957995337508686,0.042649422319654295,0.08529884463930859,0.8888353141622652,-0.0013093452410612993,0.9728248135605125
6.1000000000000005,1.0,0.9586303361953185,0.04200466249131396,0.08400932498262792,0.8905155006619178,-0.001289519656680671,0.973235305987865
6.15,1.0,0.959255722914272,0.041369663804681545,0.08273932760936309,0.892170287214105,-0.0012699973732648306,0.9736396174502032
6.2,1.0,0.9598716444191391,0.04074427708572803,0.08148855417145606,0.8938000582975341,-0.0012507734379070268,0.9740378390310831
6.25,1.0,0.9604782450963731,0.04012835558086092,0.08025671116172184,0.8954051925207684,-0.0012318430097342237,0.9744300606727561
6.300000000000001,1.0,0.961075667016095,0.03952175490362686,0.07904350980725372,0.8969860627169135,-0.0012132013544681186,0.9748163711696991
6.3500000000000005,1.0,0.9616640499806176,0.03892433298390496,0.07784866596780993,0.8985430360362697,-0.0011948438394437932,0.9751968581646359
6.4,1.0,0.9622435315708737,0.03833595001938239,0.07667190003876478,0.900076474037045,-0.0011767659290451427,0.9755716081467647
6.45,1.0,0.9628142471909186,0.03775646842912628,0.07551293685825256,0.9015867327742101,-0.0011589631805122291,0.9759407064519504
6.5,1.0,0.9633763301106573,0.03718575280908143,0.07437150561816286,0.9030741628865734,-0.0011414312400896964,0.9763042372646465
6.550000000000001,1.0,0.9639299115069363,0.036623669889342736,0.07324733977868547,0.9045391096821471,-0.0011241658394773868,0.9766622836213552
6.6000000000000005,1.0,0.9644751205031239,0.0360700884930637,0.0721401769861274,0.9059819132218696,-0.0011071627925580696,0.9770149274154389
6.65,1.0,0.9650120842072905,0.035524879496876105,0.07104975899375221,0.9074029084017448,-0.0010904179923751922,0.9773622494031218
6.7,1.0,0.9655409277490925,0.034987915792709545,0.06997583158541909,0.9088024250334531,-0.0010739274083331196,0.9777043292105391
6.75,1.0,0.9660617743154511,0.034459072250907496,0.06891814450181499,0.9101807879234894,-0.0010576870836040975,0.9780412453417003
6.800000000000001,1.0,0.9665747451851096,0.03393822568454885,0.0678764513690977,0.9115383169508715,-0.0010416931327172918,0.9783730751872519
6.8500000000000005,1.0,0.9670799597621438,0.03342525481489045,0.0668505096297809,0.9128753271434671,-0.0010259417393168047,0.9786998950339312
6.9,1.0,0.9675775356084971,0.03292004023785622,0.06584008047571244,0.9141921287529814,-0.0010104291540684596,0.9790217800746254
6.95,1.0,0.9680675884755989,0.03242246439150287,0.06484492878300574,0.9154890273286415,-0.0009951516927066972,0.9793388044189405
7.0,1.0,0.9685502323351246,0.03193241152440107,0.06386482304880214,0.9167663237896175,-0.0009801057342035957,0.9796510411042161
7.050000000000001,1.0,0.9690255794089491,0.031449767664875394,0.06289953532975079,0.9180243144962126,-0.0009652877190513554,0.979958562106912
7.1000000000000005,1.0,0.969493740198339,0.030974420591050933,0.061948841182101866,0.9192632913198546,-0.0009506941476489228,0.9802614383543076
7.15,1.0,0.9699548235124276,0.030506259801660995,0.06101251960332199,0.920483541711921,-0.0009363215787798751,0.9805597397364632
7.2,1.0,0.9704089364960095,0.030045176487572434,0.06009035297514487,0.9216853487714239,-0.0009221666281771235,0.9808535351183917
7.25,1.0,0.9708561846566924,0.029591063503990545,0.05918212700798109,0.9228689913115835,-0.0009082259671637782,0.9811428923524008
7.300000000000001,1.0,0.9712966718914371,0.029143815343307566,0.05828763068661513,0.9240347439253158,-0.0008944963213659564,0.981427878290565
7.3500000000000005,1.0,0.9717305005125145,0.02870332810856291,0.05740665621712582,0.9251828770496584,-0.0008809744694893151,0.9817085587972949
7.4,1.0,0.9721577712729087,0.028269499487485472,0.056538998974970944,0.9263136570291579,-0.0008676572421548734,0.981984998761974
7.45,1.0,0.972578583391189,0.0278422287270913,0.0556844574541826,0.9274273461782416,-0.0008545415207883433,0.9822572621116359
7.5,1.0,0.972993034575875,0.027421416608811033,0.05484283321762207,0.9285242028425942,-0.0008416242365605342,0.9825254118236557
7.550000000000001,1.0,0.9734012210493151,0.02700696542412495,0.0540139308482499,0.9296044814595592,-0.0008289023693721642,0.982789509938437
7.6000000000000005,1.0,0.9738032375710969,0.026598778950684854,0.05319755790136971,0.9306684326175866,-0.000816372946880195,0.9830496175720761
7.65,1.0,0.9741991774610089,0.02619676242890312,0.05239352485780624,0.9317163031147427,-0.0008040330435634679,0.9833057949289855
7.7,1.0,0.9745891326215694,0.025800822538991075,0.05160164507798215,0.9327483360163025,-0.0007918797798240896,0.9835581013144605
7.75,1.0,0.9749731935601366,0.02541086737843057,0.05082173475686114,0.9337647707114396,-0.0007799103211210135,0.9838065951471797
7.800000000000001,1.0,0.9753514494106154,0.025026806439863436,0.05005361287972687,0.9347658429690342,-0.0007681218771342646,0.9840513339716268
7.8500000000000005,1.0,0.9757239879547739,0.024648550589384643,0.04929710117876929,0.9357517849926096,-0.000756511700957585,0.9842923744704213
7.9,1.0,0.9760908956431814,0.024276012045226114,0.04855202409045223,0.9367228254744187,-0.0007450770883170588,0.9845297724765538
7.95,1.0,0.9764522576157786,0.02390910435681859,0.04781820871363718,0.9376791896486915,-0.0007338153768150503,0.9847635829855136
8.0,1.0,0.9768081577220924,0.023547742384221415,0.04709548476844283,0.9386210993440604,-0.0007227239451943479,0.9849938601673088
8.05,1.0,0.9771586785411037,0.023191842277907604,0.04638368455581521,0.9395487730351766,-0.0007118002126276224,0.9852206573783642
